Molecule: ./Results/normal_sim_a1.txt 
Step: ['add'], Previous ligand: c1ccccc1, Changed ligand: Pc1ccccc1, New ligand: Pc1ccccc1 
Step: ['add'], Previous ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NCC(=O)C(=O)OCCN, Changed ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NC(N)C(=O)C(=O)OCCN, New ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NCC(=O)C(=O)OCCN 
Step: ['remove'], Previous ligand: C=C(Cc1c(C)cc(PN)c(CC)c1C)NCC(=O)C(=O)OCCN, Changed ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C 
Step: ['add'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C, Changed ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C=N 
Step: ['remove'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(CCCC(=O)C(=O)OCCN)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C=N 
Step: ['add'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C=N, Changed ligand: CCc1c([PH](N)=O)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C=N 
Step: ['add'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCCN)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['change type'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['add'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CC=C1C(=C=N)C(=CCNCC(=O)C(=O)OCC(C)N)C(C)(N)C=C1PN, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['change type'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
Step: ['switch'], Previous ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N, Changed ligand: CCC1=C(PN)C=C(C)C(CCNCC(=O)C(=O)OCC(C)N)=C(C=N)C1, New ligand: CCc1c(PN)cc(C)c(CCNCC(=O)C(=O)OCC(C)N)c1C=N 
