Molecule: ./Results/normal_sim_a2.txt 
Step: ['remove'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C(CCO)=C(F)C=CC1C=CSS, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['add'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C=C(C=CSS)C=CC(F)=C1C(P)CO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['move_junction'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CC1C=C(C=CSS)C=CC=C1C(F)CO, New ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO 
Step: ['add'], Previous ligand: CC1C=C(C=CSS)C=CC(F)=C1CCO, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C, Changed ligand: C=CC1C=C(C=CSS)C=CC(F)=C1C(=CCC)CO, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C 
Step: ['move_junction'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C, Changed ligand: CCC=C(CO)C1(C)C=C(F)C=CC(C=CSS)=C1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C, Changed ligand: C=C1C(S)=C(C=CSS)C=CC(F)=C1C(=CCC)CO, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C, Changed ligand: C=C(O)C(=CCC)C1=C(F)C=CC(C=CSS)=CC1C, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C 
Step: ['change type'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1C, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O 
Step: ['move_junction'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O, Changed ligand: CC(F)C=C(CO)C1=CC=CC(C=CSS)=CC1O, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O 
Step: ['remove'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O, Changed ligand: CCC=C(CO)C1=C(F)C=CC(CSS)=CC1O, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O 
Step: ['change type'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O 
Step: ['remove'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1O, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1 
Step: ['remove'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CSS)=CC1, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['move_junction'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CO)C1=C(F)C(C=CS)=CC=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['change type'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(C1=C(F)C=CC(C=CS)=CC1)C(O)O, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['switch'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CO)C1=C(F)C=C(C)C(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['remove'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CO)C1=C(F)CC(C=CS)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=CS)=CC1, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, Changed ligand: CCCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1 
Step: ['add'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, Changed ligand: C=C(C)C=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1 
Step: ['change type'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, Changed ligand: CCC=C(CO)C1=C(N)C=CC(C=C(N)S)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1 
Step: ['switch'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, Changed ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, New ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1 
Step: ['change type'], Previous ligand: CCC=C(CO)C1=C(F)C=CC(C=C(N)S)=CC1, Changed ligand: CCC=C(NO)C1=C(F)C=CC(C=C(N)S)=CC1, New ligand: CCC=C(NO)C1=C(F)C=CC(C=C(N)S)=CC1 
Step: ['move_junction'], Previous ligand: CCC=C(NO)C1=C(F)C=CC(C=C(N)S)=CC1, Changed ligand: CCC=C(NO)C1=C(F)C=CC(C=CSN)=CC1, New ligand: CCC=C(NO)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['add'], Previous ligand: CCC=C(NO)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCC=C(NO)C1=C(F)C=CC(C=CSN)=CC1P, New ligand: CCC=C(NO)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['remove'], Previous ligand: CCC=C(NO)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['add'], Previous ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCC=C(NC)C1=C(F)C=CC(C=CSN)=CC1, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['switch'], Previous ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCC=C(N)C1=C(F)C=CC(C=CSNN)=CC1, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['change type'], Previous ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CO1, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['remove'], Previous ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCC=C(N)C1=C(F)C=CC(CSN)=CC1, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
Step: ['remove'], Previous ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1, Changed ligand: CCC=C(N)C1=C(F)C=CC(C=CS)=CC1, New ligand: CCC=C(N)C1=C(F)C=CC(C=CSN)=CC1 
