Molecule: ./Results/5uf0 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [16*]c1cc(=O)n(C)nc1-c1cc(=O)n(C)nc1NC, Score: 0.5887628500531726 
Step: remove fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1-c1cc(=O)n(C)nc1NC, New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [16*]c1cc(=O)n(C)nc1-c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], Score: 0.5019260400616333 
Step: add fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1-c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], New ligand: [16*]c1cc(=O)n(C)nc1-c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], Score: 0.5019260400616333 
Step: remove fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1-c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], New ligand: [16*]c1cc(=O)n(C)nc1-c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], Score: 0.5019260400616333 
Step: remove fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1-c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.5744391025641026 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.5744391025641026 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.5744391025641026 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1-c1ccccc1, Score: 0.5744391025641026 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1-c1ccccc1, New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: remove fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], Score: 0.5792372881355933 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1[16*], New ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1NC, Score: 0.6542715349166961 
Step: add fragment, Previous ligand: [14*]c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1NC, New ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1NC, Score: 0.5166564521620702 
Step: remove fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1-c1nn(C)c(=O)cc1NC, New ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], Score: 0.5994999999999999 
Step: remove fragment, Previous ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], New ligand: [16*]c1cc(=O)n(C)nc1-c1nn(C)c(=O)cc1[16*], Score: 0.5994999999999999 
