Molecule: ./Results/3iw7 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.11574626865671642 
Step: add fragment, Previous ligand: [15*]C1CCN(C(=O)C2CCN(C(=O)c3ccccc3)CC2)CC1, New ligand: O=C(c1ccccc1)N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, Score: 0.5155733130956899 
Step: remove fragment, Previous ligand: O=C(c1ccccc1)N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, New ligand: [5*]N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, Score: 0.42359238955175754 
Step: remove fragment, Previous ligand: [5*]N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, New ligand: [5*]N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, Score: 0.42359238955175754 
Step: add fragment, Previous ligand: [5*]N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, New ligand: [6*]C(=O)N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, Score: 0.4318472820393435 
Step: add fragment, Previous ligand: [6*]C(=O)N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, New ligand: [16*]c1ccc(C(=O)N2CCC(C(=O)N3CCC(c4ccccc4)CC3)CC2)cc1, Score: 0.5155733130956899 
Step: add fragment, Previous ligand: [16*]c1ccc(C(=O)N2CCC(C(=O)N3CCC(c4ccccc4)CC3)CC2)cc1, New ligand: [15*]C1CCN(c2ccc(C(=O)N3CCC(C(=O)N4CCC(c5ccccc5)CC4)CC3)cc2)CC1, Score: 0.44930799614343914 
Step: add fragment, Previous ligand: [15*]C1CCN(c2ccc(C(=O)N3CCC(C(=O)N4CCC(c5ccccc5)CC4)CC3)cc2)CC1, New ligand: [8*]CC1CCN(c2ccc(C(=O)N3CCC(C(=O)N4CCC(c5ccccc5)CC4)CC3)cc2)CC1, Score: 0.42724344224574323 
Step: remove fragment, Previous ligand: [8*]CC1CCN(c2ccc(C(=O)N3CCC(C(=O)N4CCC(c5ccccc5)CC4)CC3)cc2)CC1, New ligand: [5*]N1CCC(c2ccccc2)CC1, Score: 0.3249958752681075 
Step: remove fragment, Previous ligand: [5*]N1CCC(c2ccccc2)CC1, New ligand: [5*]N1CCC(c2ccccc2)CC1, Score: 0.3249958752681075 
Step: remove fragment, Previous ligand: [5*]N1CCC(c2ccccc2)CC1, New ligand: [5*]N1CCC(c2ccccc2)CC1, Score: 0.3249958752681075 
Step: remove fragment, Previous ligand: [5*]N1CCC(c2ccccc2)CC1, New ligand: [5*]N1CCC(c2ccccc2)CC1, Score: 0.3249958752681075 
Step: add fragment, Previous ligand: [5*]N1CCC(c2ccccc2)CC1, New ligand: [16*]c1ccc(N2CCC(c3ccccc3)CC2)cc1, Score: 0.5199178981937602 
Step: add fragment, Previous ligand: [16*]c1ccc(N2CCC(c3ccccc3)CC2)cc1, New ligand: [5*]N1CCC(c2ccc(N3CCC(c4ccccc4)CC3)cc2)CC1, Score: 0.4921930987783201 
Step: add fragment, Previous ligand: [5*]N1CCC(c2ccc(N3CCC(c4ccccc4)CC3)cc2)CC1, New ligand: [6*]C(=O)N1CCC(c2ccc(N3CCC(c4ccccc4)CC3)cc2)CC1, Score: 0.48373702422145326 
Step: remove fragment, Previous ligand: [6*]C(=O)N1CCC(c2ccc(N3CCC(c4ccccc4)CC3)cc2)CC1, New ligand: [6*]C(=O)N1CCC(c2ccc(N3CCC(c4ccccc4)CC3)cc2)CC1, Score: 0.48373702422145326 
Step: remove fragment, Previous ligand: [6*]C(=O)N1CCC(c2ccc(N3CCC(c4ccccc4)CC3)cc2)CC1, New ligand: [6*]C(=O)N1CCC([15*])CC1, Score: 0.1609252669039146 
Step: add fragment, Previous ligand: [6*]C(=O)N1CCC([15*])CC1, New ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, Score: 0.41608844834159364 
Step: add fragment, Previous ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, New ligand: [16*]c1ccc(C(=O)N2CCC(c3ccccc3)CC2)cc1, Score: 0.6862858135092899 
Step: add fragment, Previous ligand: [16*]c1ccc(C(=O)N2CCC(c3ccccc3)CC2)cc1, New ligand: [16*]c1ccc(-c2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)cc1, Score: 0.5962940674991224 
Step: remove fragment, Previous ligand: [16*]c1ccc(-c2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)cc1, New ligand: [16*]c1ccc(-c2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)cc1, Score: 0.5962940674991224 
Step: remove fragment, Previous ligand: [16*]c1ccc(-c2ccc(C(=O)N3CCC(c4ccccc4)CC3)cc2)cc1, New ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, Score: 0.41608844834159364 
Step: add fragment, Previous ligand: [6*]C(=O)N1CCC(c2ccccc2)CC1, New ligand: [5*]N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, Score: 0.42359238955175754 
Step: add fragment, Previous ligand: [5*]N1CCC(C(=O)N2CCC(c3ccccc3)CC2)CC1, New ligand: [16*]c1ccc(N2CCC(C(=O)N3CCC(c4ccccc4)CC3)CC2)cc1, Score: 0.4561430868950729 
