Molecule: ./Results/4lzs_p3 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(C(C)=O)c1C(=O)NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: add fragment, Previous ligand: [6*]C(=O)NC, New ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1[16*], Score: 0.39705660377358487 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1[16*], New ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1[16*], Score: 0.39705660377358487 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(=O)NC)c1[16*], Score: 0.48038709677419356 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(=O)NC)c1[16*], New ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(=O)NC)c1[16*], Score: 0.5104651162790698 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(=O)NC)c1[16*], New ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(=O)NC)c1NC, Score: 0.5532801595214357 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C)[nH]c(C(=O)NC)c1NC, New ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1NC, Score: 0.537781954887218 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c(C(=O)NC)c1NC, Score: 0.6671393981321342 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c(C(=O)NC)c1NC, New ligand: [1*]C(=O)c1c(C)[nH]c(C(=O)NC)c1NC, Score: 0.6671393981321342 
Step: add fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c(C(=O)NC)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(=O)NC)c1NC, Score: 0.7330909090909091 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(=O)NC)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(=O)NC)c1NC, Score: 0.7330909090909091 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(=O)NC)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(C(=O)NC)c1NC, Score: 0.7330909090909091 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(C(=O)NC)c1NC, New ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1NC, Score: 0.537781954887218 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(NC)c1NC, Score: 0.6690854119425548 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(NC)c1NC, New ligand: CNC(=O)c1[nH]c(C)c(NC)c1NC, Score: 0.6690854119425548 
Step: remove fragment, Previous ligand: CNC(=O)c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2NC)c1[16*], Score: 0.5400701754385965 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2NC)c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2c([14*])[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1[16*], Score: 0.38928571428571435 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c([14*])[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2c([14*])[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, Score: 0.3854726368159204 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c([14*])[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2NC)c1-c1c(C)[nH]c([14*])c1C(C)=O, Score: 0.37441520467836253 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2NC)c1-c1c(C)[nH]c([14*])c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, Score: 0.36203522504892366 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, Score: 0.2834025974025974 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, Score: 0.255040504050405 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, Score: 0.255040504050405 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, New ligand: CCc1[nH]c(C)c(C(C)=O)c1-c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, Score: 0.26139069969578443 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(C)=O)c1-c1[nH]c(C)c(-c2c(C(=O)NC)[nH]c(C)c2-c2[nH]c(C)c(NC)c2NC)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2NC)c1-c1c(C)[nH]c(-c2c(CC)[nH]c(C)c2C(C)=O)c1C(C)=O, Score: 0.2795547309833024 
