Molecule: ./Results/4lzs_n2 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, New ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, Score: 0.6369316424373648 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, New ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, Score: 0.6369316424373648 
Step: remove fragment, Previous ligand: CNc1c(C)[nH]c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: CCc1[nH]c(C)c(NC)c1NC, Score: 0.5484004127966976 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1NC, New ligand: [14*]c1[nH]c(C)c(NC)c1NC, Score: 0.368 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1NC, New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2NC)c1[16*], Score: 0.48457142857142865 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2NC)c1[16*], New ligand: [16*]c1c(-c2[nH]c(C)c(NC)c2NC)[nH]c(C)c1CC, Score: 0.5213953488372093 
Step: remove fragment, Previous ligand: [16*]c1c(-c2[nH]c(C)c(NC)c2NC)[nH]c(C)c1CC, New ligand: [8*]CC, Score: 0.006249999999999999 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [14*]c1[nH]c(C)c(CC)c1[16*], Score: 0.25327604726100966 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(CC)c1[16*], New ligand: [16*]c1c(NC)[nH]c(C)c1CC, Score: 0.4172830188679245 
Step: add fragment, Previous ligand: [16*]c1c(NC)[nH]c(C)c1CC, New ligand: [16*]c1c(C)[nH]c(-c2c(NC)[nH]c(C)c2CC)c1[16*], Score: 0.5473333333333334 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2c(NC)[nH]c(C)c2CC)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(-c3c(NC)[nH]c(C)c3CC)c2[16*])c1[16*], Score: 0.4281385281385281 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(-c3c(NC)[nH]c(C)c3CC)c2[16*])c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(-c3c(NC)[nH]c(C)c3CC)c2C(C)=O)c1[16*], Score: 0.44590563165905633 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(-c3c(NC)[nH]c(C)c3CC)c2C(C)=O)c1[16*], New ligand: [14*]c1[nH]c(C)c(CC)c1-c1[nH]c(C)c(-c2[nH]c(C)c([16*])c2[16*])c1C(C)=O, Score: 0.4328271303800456 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(CC)c1-c1[nH]c(C)c(-c2[nH]c(C)c([16*])c2[16*])c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(CC)c1[16*], Score: 0.25327604726100966 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(CC)c1[16*], New ligand: [14*]c1[nH]c(C)c(CC)c1[16*], Score: 0.25327604726100966 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(CC)c1[16*], New ligand: [16*]c1c(CC)[nH]c(C)c1CC, Score: 0.38799999999999996 
Step: remove fragment, Previous ligand: [16*]c1c(CC)[nH]c(C)c1CC, New ligand: [8*]CC, Score: 0.006249999999999999 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [14*]c1[nH]c(C)c([16*])c1CC, Score: 0.23217418546365914 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1CC, New ligand: [16*]c1c(C)[nH]c(CC)c1CC, Score: 0.396 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1CC, New ligand: [8*]CC, Score: 0.006249999999999999 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: 0.006249999999999999 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [14*]c1[nH]c(C)c(CC)c1[16*], Score: 0.25327604726100966 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(CC)c1C(C)=O, Score: 0.5422727272727274 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(C)=O, New ligand: CCc1[nH]c(C)c(CC)c1C(C)=O, Score: 0.694962742175857 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(CC)c1C(C)=O, New ligand: [16*]c1c(CC)[nH]c(C)c1CC, Score: 0.38799999999999996 
Step: add fragment, Previous ligand: [16*]c1c(CC)[nH]c(C)c1CC, New ligand: CCc1[nH]c(C)c(CC)c1C(C)=O, Score: 0.694962742175857 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(CC)c1C(C)=O, New ligand: [8*]CC, Score: 0.006249999999999999 
Step: remove fragment, Previous ligand: [8*]CC, New ligand: [8*]CC, Score: 0.006249999999999999 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [14*]c1[nH]c(C)c([16*])c1CC, Score: 0.23217418546365914 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1CC, New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1[16*], Score: 0.06277777777777778 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c([14*])[nH]c(C)c1[16*], Score: 0.22870813397129186 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c([14*])[nH]c(C)c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c([14*])[nH]c(C)c1[16*], Score: 0.22870813397129186 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c([14*])[nH]c(C)c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c([14*])[nH]c(C)c1[16*], Score: 0.22870813397129186 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c([14*])[nH]c(C)c1[16*], New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c([14*])[nH]c(C)c1CC, Score: 0.43126159554730986 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c([14*])[nH]c(C)c1CC, New ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c([14*])[nH]c(C)c1[16*], Score: 0.5219354838709677 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c([14*])[nH]c(C)c1[16*], New ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c([14*])[nH]c(C)c1-c1c(C)[nH]c([14*])c1[16*], Score: 0.4293067226890756 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c([14*])[nH]c(C)c1-c1c(C)[nH]c([14*])c1[16*], New ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c([14*])[nH]c(C)c1-c1c(C)[nH]c(CC)c1[16*], Score: 0.3996348282551637 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c([14*])[nH]c(C)c1-c1c(C)[nH]c(CC)c1[16*], New ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c(-c2[nH]c(C)c([16*])c2[16*])[nH]c(C)c1-c1c(C)[nH]c(CC)c1[16*], Score: 0.2966666666666667 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c(-c2[nH]c(C)c([16*])c2[16*])[nH]c(C)c1-c1c(C)[nH]c(CC)c1[16*], New ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c(-c2[nH]c(C)c([16*])c2[16*])[nH]c(C)c1-c1c(C)[nH]c(CC)c1CC, Score: 0.28369156428783077 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(CC)c1-c1c(-c2[nH]c(C)c([16*])c2[16*])[nH]c(C)c1-c1c(C)[nH]c(CC)c1CC, New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(-c3c(C)[nH]c(CC)c3CC)c2-c2c(C(=O)NC)[nH]c(C)c2CC)c1[16*], Score: 0.3065433854907539 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(-c3c(C)[nH]c(CC)c3CC)c2-c2c(C(=O)NC)[nH]c(C)c2CC)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(-c3c(C)[nH]c(CC)c3CC)c2-c2c(C(=O)NC)[nH]c(C)c2CC)c1CC, Score: 0.2832008592910849 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(-c3c(C)[nH]c(CC)c3CC)c2-c2c(C(=O)NC)[nH]c(C)c2CC)c1CC, New ligand: CCc1[nH]c(C)c(-c2c(C)[nH]c(-c3[nH]c(C)c(C(C)=O)c3CC)c2-c2c(C(=O)NC)[nH]c(C)c2CC)c1CC, Score: 0.28743262411347514 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(-c2c(C)[nH]c(-c3[nH]c(C)c(C(C)=O)c3CC)c2-c2c(C(=O)NC)[nH]c(C)c2CC)c1CC, New ligand: [16*]c1c(-c2[nH]c(C)c(-c3c(C)[nH]c(CC)c3CC)c2-c2c(C(=O)NC)[nH]c(C)c2CC)[nH]c(C)c1C(C)=O, Score: 0.2895532679899522 
Step: remove fragment, Previous ligand: [16*]c1c(-c2[nH]c(C)c(-c3c(C)[nH]c(CC)c3CC)c2-c2c(C(=O)NC)[nH]c(C)c2CC)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(-c2c(C)[nH]c(-c3[nH]c(C)c(C(C)=O)c3[16*])c2-c2c(C(=O)NC)[nH]c(C)c2CC)c1CC, Score: 0.3094285714285714 
