Molecule: ./Results/4lzs 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [6*]C(=O)NC, Score: 0.07428967428967428 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, Score: 0.5447058823529412 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, Score: 0.49807387642791623 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, Score: 0.5523809523809524 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, Score: 0.5523809523809524 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, Score: 0.5523809523809524 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1-c1c(C(=O)NC)[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(NC)c1-c1c([14*])[nH]c(C)c1C(C)=O, Score: 0.5570066244449297 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1-c1c([14*])[nH]c(C)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1-c1c([14*])[nH]c(C)c1C(C)=O, Score: 0.5564568462037637 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1-c1c([14*])[nH]c(C)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1-c1c([14*])[nH]c(C)c1C(C)=O, Score: 0.5564568462037637 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(NC)c1-c1c([14*])[nH]c(C)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5474789915966386 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [16*]c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5342105263157895 
Step: add fragment, Previous ligand: [16*]c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5546332737030412 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5288733798604187 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5546332737030412 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5474789915966386 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5474789915966386 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5546332737030412 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5546332737030412 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5546332737030412 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [16*]c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5342105263157895 
Step: remove fragment, Previous ligand: [16*]c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [16*]c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5342105263157895 
Step: add fragment, Previous ligand: [16*]c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [1*]C(=O)c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.639588377723971 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C(=O)NC)[nH]c(C)c1NC, New ligand: [16*]c1c(C(=O)NC)[nH]c(C)c1NC, Score: 0.5342105263157895 
