Molecule: ./Results/4lzs_p5 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], Score: 0.33283270755110556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], Score: 0.33283270755110556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], Score: 0.33283270755110556 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1[16*], New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(C(C)=O)c2CC)c1[16*], Score: 0.6161891589277482 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(C(C)=O)c2CC)c1[16*], New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.6077282157676348 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.6077282157676348 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c([16*])c1-c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.6077282157676348 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1-c1[nH]c(C)c(C(C)=O)c1CC, New ligand: [14*]c1[nH]c(C)c(C(C)=O)c1CC, Score: 0.5843055555555556 
