Molecule: ./Results/4lzs_n10 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [14*]c1[nH]c(C)c([16*])c1NC, Score: 0.22800751879699246 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5358823529411765 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [14*]c1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5358823529411765 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5292364990689014 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5292364990689014 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5292364990689014 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5292364990689014 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, Score: 0.5292364990689014 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1-c1c(C)[nH]c(C(C)=O)c1NC, New ligand: [16*]c1c(CC)[nH]c(C)c1C(=O)NC, Score: 0.543859649122807 
Step: add fragment, Previous ligand: [16*]c1c(CC)[nH]c(C)c1C(=O)NC, New ligand: [1*]C(=O)c1c(CC)[nH]c(C)c1C(=O)NC, Score: 0.6636054421768707 
Step: add fragment, Previous ligand: [1*]C(=O)c1c(CC)[nH]c(C)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, Score: 0.7158571428571429 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, Score: 0.7158571428571429 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, Score: 0.7158571428571429 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, Score: 0.7158571428571429 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, Score: 0.7158571428571429 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, Score: 0.7158571428571429 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(C(=O)NC)c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6035087719298246 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(CC)c1C(=O)NC, Score: 0.7118226600985222 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(CC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(CC)c1C(=O)NC, Score: 0.7118226600985222 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(CC)c1C(=O)NC, New ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, Score: 0.6035087719298246 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(=O)NC, New ligand: CCc1[nH]c(C)c(C(C)=O)c1C(=O)NC, Score: 0.7945762711864408 
