Molecule: ./p38/3hv5 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1, New ligand: [16*]c1cccc([16*])c1, Score: tensor([0.3957]) 
Step: add fragment, Previous ligand: [14*]c1cc(Nc2cccc([16*])c2)n(-c2ccc(C)cc2)n1, New ligand: [14*]c1cc(Nc2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)n(-c2ccc(C)cc2)n1, Score: tensor([0.7015]) 
Step: add fragment, Previous ligand: [14*]c1cc(Nc2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)n(-c2ccc(C)cc2)n1, New ligand: Cc1ccc(-n2nc(C(C)(C)C)cc2Nc2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)cc1, Score: tensor([0.6690]) 
Step: remove fragment, Previous ligand: Cc1ccc(-n2nc(C(C)(C)C)cc2Nc2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)cc1, New ligand: [16*]c1cccc(Nc2cc(C(C)(C)C)nn2-c2ccc(C)cc2)c1, Score: tensor([0.4976]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(Nc2cc(C(C)(C)C)nn2-c2ccc(C)cc2)c1, New ligand: [14*]c1cc(C(C)(C)C)nn1-c1ccc(C)cc1, Score: tensor([0.4703]) 
Step: add fragment, Previous ligand: [14*]c1cc(C(C)(C)C)nn1-c1ccc(C)cc1, New ligand: [14*]c1cc([14*])n(-c2cc(C(C)(C)C)nn2-c2ccc(C)cc2)n1, Score: tensor([0.7078]) 
Step: add fragment, Previous ligand: [14*]c1cc([14*])n(-c2cc(C(C)(C)C)nn2-c2ccc(C)cc2)n1, New ligand: [9*]n1nc(-c2cc([14*])n(-c3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n2)cc1[14*], Score: tensor([0.7509]) 
Step: remove fragment, Previous ligand: [9*]n1nc(-c2cc([14*])n(-c3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n2)cc1[14*], New ligand: [9*]n1nc(-c2cc([14*])n(-c3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n2)cc1[14*], Score: tensor([0.7509]) 
Step: add fragment, Previous ligand: [9*]n1nc(-c2cc([14*])n(-c3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n2)cc1[14*], New ligand: [9*]n1nc(-c2cc([14*])n(-c3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n2)cc1[14*], Score: tensor([0.7509]) 
Step: remove fragment, Previous ligand: [9*]n1nc(-c2cc([14*])n(-c3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n2)cc1[14*], New ligand: [9*]n1nc(-c2cc([14*])n(-c3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n2)cc1[14*], Score: tensor([0.7509]) 
Step: remove fragment, Previous ligand: [9*]n1nc(-c2cc([14*])n(-c3cc(C(C)(C)C)nn3-c3ccc(C)cc3)n2)cc1[14*], New ligand: [14*]c1cc(C(C)(C)C)nn1-c1ccc(C)cc1, Score: tensor([0.4703]) 
Step: add fragment, Previous ligand: [14*]c1cc(C(C)(C)C)nn1-c1ccc(C)cc1, New ligand: [5*]Nc1cc(C(C)(C)C)nn1-c1ccc(C)cc1, Score: tensor([0.6664]) 
Step: add fragment, Previous ligand: [5*]Nc1cc(C(C)(C)C)nn1-c1ccc(C)cc1, New ligand: Cc1ccc(-n2nc(C(C)(C)C)cc2Nc2cc[nH+]c3ccc([N+](=O)[O-])cc23)cc1, Score: tensor([0.7906]) 
Step: remove fragment, Previous ligand: Cc1ccc(-n2nc(C(C)(C)C)cc2Nc2cc[nH+]c3ccc([N+](=O)[O-])cc23)cc1, New ligand: [16*]c1ccc(C)cc1, Score: tensor([0.4088]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(C)cc1, New ligand: [16*]c1ccc(C)cc1, Score: tensor([0.4088]) 
Step: add fragment, Previous ligand: [16*]c1ccc(C)cc1, New ligand: Cc1ccc(-c2ccc(C)cc2)cc1, Score: tensor([0.4399]) 
Step: remove fragment, Previous ligand: Cc1ccc(-c2ccc(C)cc2)cc1, New ligand: [16*]c1ccc(C)cc1, Score: tensor([0.4086]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(C)cc1, New ligand: [16*]c1ccc(C)cc1, Score: tensor([0.4086]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(C)cc1, New ligand: [16*]c1ccc(C)cc1, Score: tensor([0.4086]) 
Step: add fragment, Previous ligand: [16*]c1ccc(C)cc1, New ligand: [9*]n1nc([14*])cc1-c1ccc(C)cc1, Score: tensor([0.5816]) 
Step: add fragment, Previous ligand: [9*]n1nc([14*])cc1-c1ccc(C)cc1, New ligand: [9*]n1nc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)cc1-c1ccc(C)cc1, Score: tensor([0.7619]) 
Step: add fragment, Previous ligand: [9*]n1nc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)cc1-c1ccc(C)cc1, New ligand: Cc1ccc(-c2cc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)nn2-c2ccc(C)cc2)cc1, Score: tensor([0.7544]) 
Step: remove fragment, Previous ligand: Cc1ccc(-c2cc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)nn2-c2ccc(C)cc2)cc1, New ligand: [14*]c1cc(-c2ccc(C)cc2)n(-c2ccc(C)cc2)n1, Score: tensor([0.5857]) 
Step: remove fragment, Previous ligand: [14*]c1cc(-c2ccc(C)cc2)n(-c2ccc(C)cc2)n1, New ligand: [14*]c1cc(-c2ccc(C)cc2)n(-c2ccc(C)cc2)n1, Score: tensor([0.5857]) 
Step: remove fragment, Previous ligand: [14*]c1cc(-c2ccc(C)cc2)n(-c2ccc(C)cc2)n1, New ligand: [14*]c1cc(-c2ccc(C)cc2)n(-c2ccc(C)cc2)n1, Score: tensor([0.5857]) 
Step: add fragment, Previous ligand: [16*]c1cccc(Nc2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: [9*]n1nc([14*])cc1-c1cccc(Nc2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.8041]) 
Step: remove fragment, Previous ligand: [9*]n1nc([14*])cc1-c1cccc(Nc2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: [9*]n1nc([14*])cc1-c1cccc(Nc2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.8041]) 
