Molecule: ./Serine/specific_frags_1.txt 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4731]) 
Step: remove fragment, Previous ligand: [14*]c1cncc(C)n1, New ligand: [14*]c1cncc(C)n1, Score: tensor([0.4485]) 
Step: add fragment, Previous ligand: [14*]c1cncc(C)n1, New ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, Score: tensor([0.7852]) 
Step: remove fragment, Previous ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, New ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, Score: tensor([0.7852]) 
Step: remove fragment, Previous ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, New ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, Score: tensor([0.7852]) 
Step: remove fragment, Previous ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, New ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, Score: tensor([0.7852]) 
Step: remove fragment, Previous ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, New ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, Score: tensor([0.7852]) 
Step: remove fragment, Previous ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, New ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, Score: tensor([0.7852]) 
Step: remove fragment, Previous ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, New ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, Score: tensor([0.7852]) 
Step: remove fragment, Previous ligand: Cc1cncc(-c2ccc3cccc(O)c3n2)n1, New ligand: [14*]c1ccc2cccc(O)c2n1, Score: tensor([0.6369]) 
Step: add fragment, Previous ligand: [14*]c1ccc2cccc(O)c2n1, New ligand: [16*]c1cnn2c(=O)cc(-c3ccc4cccc(O)c4n3)[nH]c12, Score: tensor([0.7625]) 
Step: add fragment, Previous ligand: [16*]c1cnn2c(=O)cc(-c3ccc4cccc(O)c4n3)[nH]c12, New ligand: [14*]c1n[nH]c2cc(-c3cnn4c(=O)cc(-c5ccc6cccc(O)c6n5)[nH]c34)ccc12, Score: tensor([0.7409]) 
Step: remove fragment, Previous ligand: [14*]c1n[nH]c2cc(-c3cnn4c(=O)cc(-c5ccc6cccc(O)c6n5)[nH]c34)ccc12, New ligand: [14*]c1n[nH]c2cc(-c3cnn4c(=O)cc(-c5ccc6cccc(O)c6n5)[nH]c34)ccc12, Score: tensor([0.7409]) 
Step: remove fragment, Previous ligand: COc1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, New ligand: COc1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, Score: tensor([0.8585]) 
Step: remove fragment, Previous ligand: COc1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, New ligand: COc1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, Score: tensor([0.8585]) 
