Molecule: ./Serine/random_a2 
Step: add fragment, Previous ligand: [14*]c1csc(-c2ccc(S(F)(F)(F)(F)F)c(F)c2)n1, New ligand: [16*]c1cccnc1-c1csc(-c2ccc(S(F)(F)(F)(F)F)c(F)c2)n1, Score: tensor([0.6694]) 
Step: add fragment, Previous ligand: [16*]c1cccnc1-c1csc(-c2ccc(S(F)(F)(F)(F)F)c(F)c2)n1, New ligand: C[N+]1(C)CCc2c(cccc2-c2cccnc2-c2csc(-c3ccc(S(F)(F)(F)(F)F)c(F)c3)n2)C1, Score: tensor([0.6951]) 
Step: remove fragment, Previous ligand: C[N+]1(C)CCc2c(cccc2-c2cccnc2-c2csc(-c3ccc(S(F)(F)(F)(F)F)c(F)c3)n2)C1, New ligand: [14*]c1ncccc1-c1cccc2c1CC[N+](C)(C)C2, Score: tensor([0.6869]) 
Step: add fragment, Previous ligand: [14*]c1ncccc1-c1cccc2c1CC[N+](C)(C)C2, New ligand: CCCc1ncccc1-c1cccc2c1CC[N+](C)(C)C2, Score: tensor([0.7409]) 
Step: remove fragment, Previous ligand: CCCc1ncccc1-c1cccc2c1CC[N+](C)(C)C2, New ligand: CCCc1ncccc1-c1cccc2c1CC[N+](C)(C)C2, Score: tensor([0.7409]) 
Step: remove fragment, Previous ligand: CCCc1ncccc1-c1cccc2c1CC[N+](C)(C)C2, New ligand: [14*]c1ncccc1-c1cccc2c1CC[N+](C)(C)C2, Score: tensor([0.6841]) 
Step: add fragment, Previous ligand: [14*]c1ncccc1-c1cccc2c1CC[N+](C)(C)C2, New ligand: Cc1ccc(F)c(-c2ncccc2-c2cccc3c2CC[N+](C)(C)C3)c1, Score: tensor([0.7285]) 
Step: remove fragment, Previous ligand: Cc1ccc(F)c(-c2ncccc2-c2cccc3c2CC[N+](C)(C)C3)c1, New ligand: [16*]c1cc(C)ccc1F, Score: tensor([0.5750]) 
Step: add fragment, Previous ligand: [16*]c1cc(C)ccc1F, New ligand: Cc1ccc(F)c(-c2ccc(C(=N)N)cc2)c1, Score: tensor([0.8147]) 
Step: remove fragment, Previous ligand: Cc1ccc(F)c(-c2ccc(C(=N)N)cc2)c1, New ligand: Cc1ccc(F)c(-c2ccc(C(=N)N)cc2)c1, Score: tensor([0.8147]) 
