Molecule: ./no_chain/6fnx 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: c1ccc(-c2ccccc2)cc1, Score: tensor([0.4513]) 
Step: remove fragment, Previous ligand: c1ccc(-c2ccccc2)cc1, New ligand: [16*]c1ccccc1, Score: tensor([0.3986]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: CCc1ccccc1, Score: tensor([0.4586]) 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: [16*]c1ccccc1, Score: tensor([0.3985]) 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: tensor([0.3985]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9007]) 
Step: add fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9032]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9032]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9032]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9032]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9032]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9032]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, New ligand: [16*]c1ccccc1, Score: tensor([0.3983]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8718]) 
Step: remove fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8718]) 
Step: add fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8718]) 
Step: remove fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8718]) 
Step: remove fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8718]) 
Step: remove fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8718]) 
