Molecule: ./P38/random_a2 
Step: add fragment, Previous ligand: [5*]N1CCC(F)(N2CC[C@]34CCCC[C@H]3[C@H]2Cc2ccc(-n3cc([16*])c5ccccc53)cc24)CC1, New ligand: [16*]c1cn(-c2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(C2(F)CCN(c3ccccc3Br)CC2)CC4)c2ccccc12, Score: tensor([0.5799]) 
Step: add fragment, Previous ligand: [16*]c1cn(-c2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(C2(F)CCN(c3ccccc3Br)CC2)CC4)c2ccccc12, New ligand: [14*]c1ncc2cc(-c3cn(-c4ccc5c(c4)[C@@]46CCCC[C@H]4[C@@H](C5)N(C4(F)CCN(c5ccccc5Br)CC4)CC6)c4ccccc34)c(=O)n(C)c2n1, Score: tensor([0.7275]) 
Step: remove fragment, Previous ligand: [14*]c1ncc2cc(-c3cn(-c4ccc5c(c4)[C@@]46CCCC[C@H]4[C@@H](C5)N(C4(F)CCN(c5ccccc5Br)CC4)CC6)c4ccccc34)c(=O)n(C)c2n1, New ligand: [16*]c1cn(-c2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(C2(F)CCN(c3ccccc3Br)CC2)CC4)c2ccccc12, Score: tensor([0.5822]) 
Step: add fragment, Previous ligand: [16*]c1cn(-c2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(C2(F)CCN(c3ccccc3Br)CC2)CC4)c2ccccc12, New ligand: [16*]c1cn(-c2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(C2(F)CCN(c3ccccc3Br)CC2)CC4)c2ccccc12, Score: tensor([0.5822]) 
Step: add fragment, Previous ligand: [16*]c1cn(-c2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(C2(F)CCN(c3ccccc3Br)CC2)CC4)c2ccccc12, New ligand: Cc1ccnc(-c2cn(-c3ccc4c(c3)[C@@]35CCCC[C@H]3[C@@H](C4)N(C3(F)CCN(c4ccccc4Br)CC3)CC5)c3ccccc23)c1, Score: tensor([0.4843]) 
Step: remove fragment, Previous ligand: Cc1ccnc(-c2cn(-c3ccc4c(c3)[C@@]35CCCC[C@H]3[C@@H](C4)N(C3(F)CCN(c4ccccc4Br)CC3)CC5)c3ccccc23)c1, New ligand: [16*]c1ccccc1Br, Score: tensor([0.4121]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1Br, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8136]) 
Step: remove fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8136]) 
Step: remove fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8136]) 
Step: remove fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8136]) 
Step: add fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [4*]C([8*])c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.5992]) 
Step: remove fragment, Previous ligand: [4*]C([8*])c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8130]) 
Step: add fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8130]) 
Step: remove fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8130]) 
Step: add fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: Oc1nc(-c2c[nH]c3cc(Br)ccc23)nc2cnn(-c3ccccc3Br)c12, Score: tensor([0.7391]) 
Step: remove fragment, Previous ligand: Oc1nc(-c2c[nH]c3cc(Br)ccc23)nc2cnn(-c3ccccc3Br)c12, New ligand: Oc1nc(-c2c[nH]c3cc(Br)ccc23)nc2cnn(-c3ccccc3Br)c12, Score: tensor([0.7391]) 
Step: remove fragment, Previous ligand: Oc1nc(-c2c[nH]c3cc(Br)ccc23)nc2cnn(-c3ccccc3Br)c12, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8131]) 
Step: remove fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8131]) 
Step: remove fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8131]) 
Step: remove fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8131]) 
Step: add fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: O/N=C1\CCCc2onc(-c3nc(O)c4c(cnn4-c4ccccc4Br)n3)c21, Score: tensor([0.7920]) 
Step: remove fragment, Previous ligand: O/N=C1\CCCc2onc(-c3nc(O)c4c(cnn4-c4ccccc4Br)n3)c21, New ligand: O/N=C1\CCCc2onc(-c3nc(O)c4c(cnn4-c4ccccc4Br)n3)c21, Score: tensor([0.7920]) 
Step: remove fragment, Previous ligand: O/N=C1\CCCc2onc(-c3nc(O)c4c(cnn4-c4ccccc4Br)n3)c21, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8136]) 
Step: remove fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8136]) 
Step: add fragment, Previous ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, New ligand: [16*]c1ccc2cc(-c3nc(O)c4c(cnn4-c4ccccc4Br)n3)ccc2c1, Score: tensor([0.7630]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2cc(-c3nc(O)c4c(cnn4-c4ccccc4Br)n3)ccc2c1, New ligand: [14*]c1nc(O)c2c(cnn2-c2ccccc2Br)n1, Score: tensor([0.8130]) 
