Molecule: ./Results/normal_sim_a2.txt 
Step: ['switch'], Previous ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C, Changed ligand: CNC(O)C1:C(CCC(C)=N):C:NON:C:1C, New ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C 
Step: ['remove'], Previous ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C, Changed ligand: CNC(O)c1c(CCC(C)=N)c[nH]c1C, New ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C 
Step: ['switch'], Previous ligand: CNC(O)C1:C(CCC(C)=N):C:N:N:C:1C, Changed ligand: CNC(O)C1:C(CCC(C)CN):C:N:N:C:1C, New ligand: CNC(O)C1:C(CCC(C)CN):C:N:N:C:1C 
Step: ['remove ring'], Previous ligand: CNC(O)C1:C(CCC(C)CN):C:N:N:C:1C, Changed ligand: CCC(C(CCC(C)CN)CNN)C(O)NC, New ligand: CNC(O)C1:C(CCC(C)CN):C:N:N:C:1C 
Step: ['add'], Previous ligand: CNC(O)C1:C(CCC(C)CN):C:N:N:C:1C, Changed ligand: CCCC(C)(CN)CCC1:C:N:N:C(C):C:1C(O)NC, New ligand: CCCC(C)(CN)CCC1:C:N:N:C(C):C:1C(O)NC 
Step: ['move_junction'], Previous ligand: CCCC(C)(CN)CCC1:C:N:N:C(C):C:1C(O)NC, Changed ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N, New ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N 
Step: ['form new ring'], Previous ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N, Changed ligand: CCCC1CC(C2:C:N:N:C(C):C:2C(O)NC)NC1C, New ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N 
Step: ['remove'], Previous ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N, Changed ligand: CCCC(CCC1:C:N:N:C(C):C:1C(C)O)C(C)N, New ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N 
Step: ['switch'], Previous ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N, Changed ligand: CCCC(CCC1:C:N:N:C(C)CC:1C(O)NC)C(C)N, New ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N 
Step: ['add'], Previous ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NC)C(C)N, Changed ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N, New ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N 
Step: ['add'], Previous ligand: CCCC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N, Changed ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N, New ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N 
Step: ['add'], Previous ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N, Changed ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)NN, New ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N 
Step: ['remove ring'], Previous ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N, Changed ligand: CC(P)CC(CCC(C)C(C(C)NN)C(O)NCO)C(C)N, New ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N 
Step: ['form new ring'], Previous ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N, Changed ligand: CC(=P)CC(C(C)N)C1CC2:C:N:N:C(C):C:2C1(O)NCO, New ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N 
Step: ['remove ring'], Previous ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N, Changed ligand: CCC(C(CCC(CC(C)P)C(C)N)CNN)C(O)NCO, New ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N 
Step: ['remove'], Previous ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1C(O)NCO)C(C)N, Changed ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1CNCO)C(C)N, New ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1CNCO)C(C)N 
Step: ['switch'], Previous ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1CNCO)C(C)N, Changed ligand: CC(=P)CC(CCC1:C:NCN:C(C):C:1CNCO)C(C)N, New ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1CNCO)C(C)N 
Step: ['switch'], Previous ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1CNCO)C(C)N, Changed ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1CNCNO)C(C)N, New ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1CNCNO)C(C)N 
Step: ['change type'], Previous ligand: CC(=P)CC(CCC1:C:N:N:C(C):C:1CNCNO)C(C)N, Changed ligand: CC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N, New ligand: CC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N 
Step: ['switch'], Previous ligand: CC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N, Changed ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N, New ligand: CCC(=P)CC(OCc1cnnc(C)c1CNCNO)C(C)N 
