Molecule: ./Results/normal_sim_a1.txt 
Step: ['move_junction'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCOn1ccccc1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['change type'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCS1=CC=CN(O)C1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['form new ring'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC1(C)CCc2c1ccn(O)c2=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCC1=CCN(O)C1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['switch'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCc1cccn(CO)c1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['remove ring'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCCC(CCC(C)CC)C(S)NO, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)(C)CCc1cccn(O)c1=S, New ligand: CCC(C)(C)CCc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCC(C)(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)(CS)CCc1cccn(O)c1=S, New ligand: CCC(C)(C)CCc1cccn(O)c1=S 
Step: ['change type'], Previous ligand: CCC(C)(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)(C)CCc1cncn(O)c1=S, New ligand: CCC(C)(C)CCc1cccn(O)c1=S 
Step: ['turn ring aromatic'], Previous ligand: CCC(C)(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)(C)CCC1CCCN(O)C1=S, New ligand: CCC(C)(C)CCc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCC(C)(C)CCc1cccn(O)c1=S, Changed ligand: CC(C)(C)CCc1cccn(O)c1=S, New ligand: CC(C)(C)CCc1cccn(O)c1=S 
Step: ['change type'], Previous ligand: CC(C)(C)CCc1cccn(O)c1=S, Changed ligand: Cn1cccc(CCC(C)(C)C)c1=S, New ligand: CC(C)(C)CCc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CC(C)(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)(C)CCc1cccn(O)c1=S, New ligand: CCC(C)(C)CCc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCC(C)(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCc1cccn(O)c1=S, New ligand: CCC(C)(C)CCc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCC(C)(C)CCc1cccn(O)c1=S, Changed ligand: CCC(C)CCc1cccn(O)c1=S, New ligand: CCC(C)CCc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCC(C)CCc1cccn(O)c1=S, Changed ligand: CCCC(C)CCc1cccn(O)c1=S, New ligand: CCCC(C)CCc1cccn(O)c1=S 
