Molecule: ./Bromo/rand_p5 
Step: remove fragment, Previous ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c(-c4ccccc4[16*])c3-2)CCN1C, New ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, Score: tensor([0.8108]) 
Step: add fragment, Previous ligand: [16*]c1cc2c(cc1O)C[C@H]1c3c(cc(O)c([16*])c3-2)CCN1C, New ligand: [5*]N1CCC[C@@H](c2c(O)cc3c4c2-c2cc([16*])c(O)cc2C[C@@H]4N(C)CC3)C1, Score: tensor([0.6969]) 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H](c2c(O)cc3c4c2-c2cc([16*])c(O)cc2C[C@@H]4N(C)CC3)C1, New ligand: [5*]N1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, Score: tensor([0.6838]) 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, New ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, Score: tensor([0.7785]) 
Step: remove fragment, Previous ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, New ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, Score: tensor([0.7785]) 
Step: remove fragment, Previous ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, New ligand: [5*]N1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, Score: tensor([0.6870]) 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, New ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, Score: tensor([0.7879]) 
Step: remove fragment, Previous ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, New ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, Score: tensor([0.7879]) 
Step: remove fragment, Previous ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, New ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, Score: tensor([0.7879]) 
Step: remove fragment, Previous ligand: CCN1CCC[C@@H](c2c(O)cc3c4c2-c2cc(C5CCOCC5)c(O)cc2C[C@@H]4N(C)CC3)C1, New ligand: [15*][C@@H]1CCCN(CC)C1, Score: tensor([0.4097]) 
Step: add fragment, Previous ligand: [15*][C@@H]1CCCN(CC)C1, New ligand: [9*]n1ncc2c([C@@H]3CCCN(CC)C3)ncnc21, Score: tensor([0.8256]) 
Step: add fragment, Previous ligand: [9*]n1ncc2c([C@@H]3CCCN(CC)C3)ncnc21, New ligand: CCN1CCC[C@@H](c2ncnc3c2cnn3CC(=O)O)C1, Score: tensor([0.7621]) 
Step: remove fragment, Previous ligand: CCN1CCC[C@@H](c2ncnc3c2cnn3CC(=O)O)C1, New ligand: CCN1CCC[C@@H](c2ncnc3c2cnn3CC(=O)O)C1, Score: tensor([0.7621]) 
Step: remove fragment, Previous ligand: CCN1CCC[C@@H](c2ncnc3c2cnn3CC(=O)O)C1, New ligand: [5*]N1CCC[C@@H](c2ncnc3c2cnn3CC(=O)O)C1, Score: tensor([0.7763]) 
Step: remove fragment, Previous ligand: [5*]N1CCC[C@@H](c2ncnc3c2cnn3CC(=O)O)C1, New ligand: [14*]c1ncnc2c1cnn2CC(=O)O, Score: tensor([0.6192]) 
Step: add fragment, Previous ligand: [14*]c1ncnc2c1cnn2CC(=O)O, New ligand: O=C(O)Cc1ncnc2c1cnn2CC(=O)O, Score: tensor([0.6156]) 
Step: remove fragment, Previous ligand: O=C(O)Cc1ncnc2c1cnn2CC(=O)O, New ligand: [14*]c1ncnc2c1cnn2CC(=O)O, Score: tensor([0.6206]) 
Step: add fragment, Previous ligand: [14*]c1ncnc2c1cnn2CC(=O)O, New ligand: [16*]c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O, Score: tensor([0.8363]) 
Step: remove fragment, Previous ligand: [16*]c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O, New ligand: [16*]c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O, Score: tensor([0.8363]) 
Step: add fragment, Previous ligand: [16*]c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O, New ligand: [5*]N([5*])c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O, Score: tensor([0.5872]) 
Step: add fragment, Previous ligand: [5*]N([5*])c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O, New ligand: [5*]N(c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O)[C@@]1([C@H]2CC[C@@]([15*])(O)[C@H](C)O2)C[C@H](C)[C@@H]([13*])O1, Score: tensor([0.7406]) 
Step: remove fragment, Previous ligand: [5*]N(c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O)[C@@]1([C@H]2CC[C@@]([15*])(O)[C@H](C)O2)C[C@H](C)[C@@H]([13*])O1, New ligand: [16*]c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O, Score: tensor([0.8362]) 
Step: remove fragment, Previous ligand: [16*]c1coc2ccc(-c3ncnc4c3cnn4CC(=O)O)cc2c1=O, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8218]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8218]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8218]) 
Step: add fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8218]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8218]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8218]) 
Step: add fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [4*]Cc1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8180]) 
Step: remove fragment, Previous ligand: [4*]Cc1ccc2occ([16*])c(=O)c2c1, New ligand: [4*]Cc1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8180]) 
Step: remove fragment, Previous ligand: [4*]Cc1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8214]) 
Step: add fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8214]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8214]) 
Step: add fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [16*]c1coc2ccc(-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)cc2c1=O, Score: tensor([0.8026]) 
Step: remove fragment, Previous ligand: [16*]c1coc2ccc(-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)cc2c1=O, New ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, Score: tensor([0.8213]) 
Step: add fragment, Previous ligand: [16*]c1ccc2occ([16*])c(=O)c2c1, New ligand: [9*]n1c(=O)n(C)c(=O)c2c1ncn2-c1coc2ccc([16*])cc2c1=O, Score: tensor([0.7299]) 
Step: add fragment, Previous ligand: [9*]n1c(=O)n(C)c(=O)c2c1ncn2-c1coc2ccc([16*])cc2c1=O, New ligand: [5*]N1CC[C@H](n2c(=O)n(C)c(=O)c3c2ncn3-c2coc3ccc([16*])cc3c2=O)C1, Score: tensor([0.6729]) 
Step: add fragment, Previous ligand: [5*]N1CC[C@H](n2c(=O)n(C)c(=O)c3c2ncn3-c2coc3ccc([16*])cc3c2=O)C1, New ligand: [5*]N1CC[C@H](n2c(=O)n(C)c(=O)c3c2ncn3-c2coc3ccc([16*])cc3c2=O)C1, Score: tensor([0.6729]) 
