Molecule: ./Bromo/random_a2 
Step: remove fragment, Previous ligand: [16*]c1ccccc1[S+]([O-])CC=C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7902]) 
Step: add fragment, Previous ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [1*]C(=O)C=C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7760]) 
Step: add fragment, Previous ligand: [1*]C(=O)C=C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: C[C@H](C=CC(=O)N1CCOCC1)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.8005]) 
Step: remove fragment, Previous ligand: C[C@H](C=CC(=O)N1CCOCC1)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7885]) 
Step: remove fragment, Previous ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7885]) 
Step: add fragment, Previous ligand: [7*]C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: [8*][C@@H](C)C=C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, Score: tensor([0.7264]) 
Step: add fragment, Previous ligand: [8*][C@@H](C)C=C[C@@H](C)N1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O, New ligand: Cc1cn([C@H](C)C=C[C@@H](C)N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)c(=O)nc1N, Score: tensor([0.7144]) 
Step: remove fragment, Previous ligand: Cc1cn([C@H](C)C=C[C@@H](C)N2CC(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C2=O)c(=O)nc1N, New ligand: [8*][C@H](C)C=C[C@@H](C)n1cc(C)c(N)nc1=O, Score: tensor([0.8232]) 
Step: remove fragment, Previous ligand: [8*][C@H](C)C=C[C@@H](C)n1cc(C)c(N)nc1=O, New ligand: [7*]C[C@H]([8*])C, Score: tensor([0.3947]) 
Step: add fragment, Previous ligand: [7*]C[C@H]([8*])C, New ligand: [7*]C[C@@H](C)[C@@H]1CNCC(=O)N1[10*], Score: tensor([0.7720]) 
Step: add fragment, Previous ligand: [7*]C[C@@H](C)[C@@H]1CNCC(=O)N1[10*], New ligand: [5*]NC(C)=C[C@@H](C)[C@@H]1CNCC(=O)N1[10*], Score: tensor([0.7477]) 
Step: remove fragment, Previous ligand: [5*]NC(C)=C[C@@H](C)[C@@H]1CNCC(=O)N1[10*], New ligand: [10*]N1C(=O)CNC[C@H]1[13*], Score: tensor([0.7320]) 
Step: remove fragment, Previous ligand: [10*]N1C(=O)CNC[C@H]1[13*], New ligand: [10*]N1C(=O)CNC[C@H]1[13*], Score: tensor([0.7320]) 
Step: add fragment, Previous ligand: [10*]N1C(=O)CNC[C@H]1[13*], New ligand: [10*]N1C(=O)CNC[C@H]1c1n[nH]c(=O)c2ccccc12, Score: tensor([0.7926]) 
Step: add fragment, Previous ligand: [10*]N1C(=O)CNC[C@H]1c1n[nH]c(=O)c2ccccc12, New ligand: [9*]n1ccc(N2C(=O)CNC[C@H]2c2n[nH]c(=O)c3ccccc23)n1, Score: tensor([0.8575]) 
Step: remove fragment, Previous ligand: [9*]n1ccc(N2C(=O)CNC[C@H]2c2n[nH]c(=O)c3ccccc23)n1, New ligand: [10*]N1C(=O)CNC[C@H]1c1n[nH]c(=O)c2ccccc12, Score: tensor([0.7968]) 
Step: add fragment, Previous ligand: [10*]N1C(=O)CNC[C@H]1c1n[nH]c(=O)c2ccccc12, New ligand: Cc1c(N2C(=O)CNC[C@H]2c2n[nH]c(=O)c3ccccc23)oc2ccccc12, Score: tensor([0.8216]) 
Step: remove fragment, Previous ligand: Cc1c(N2C(=O)CNC[C@H]2c2n[nH]c(=O)c3ccccc23)oc2ccccc12, New ligand: Cc1c(N2C(=O)CNC[C@H]2c2n[nH]c(=O)c3ccccc23)oc2ccccc12, Score: tensor([0.8216]) 
Step: remove fragment, Previous ligand: Cc1c(N2C(=O)CNC[C@H]2c2n[nH]c(=O)c3ccccc23)oc2ccccc12, New ligand: [14*]c1oc2ccccc2c1C, Score: tensor([0.7304]) 
Step: add fragment, Previous ligand: [14*]c1oc2ccccc2c1C, New ligand: Cc1c(-c2ccc(F)cc2F)oc2ccccc12, Score: tensor([0.6438]) 
Step: remove fragment, Previous ligand: Cc1c(-c2ccc(F)cc2F)oc2ccccc12, New ligand: Cc1c(-c2ccc(F)cc2F)oc2ccccc12, Score: tensor([0.6438]) 
Step: remove fragment, Previous ligand: Cc1c(-c2ccc(F)cc2F)oc2ccccc12, New ligand: [14*]c1oc2ccccc2c1C, Score: tensor([0.7317]) 
Step: remove fragment, Previous ligand: [14*]c1oc2ccccc2c1C, New ligand: [14*]c1oc2ccccc2c1C, Score: tensor([0.7317]) 
Step: remove fragment, Previous ligand: [14*]c1oc2ccccc2c1C, New ligand: [14*]c1oc2ccccc2c1C, Score: tensor([0.7317]) 
Step: add fragment, Previous ligand: [14*]c1oc2ccccc2c1C, New ligand: Cc1c(-n2c(=O)[nH]c3ccc(Cl)cc3c2=O)oc2ccccc12, Score: tensor([0.7606]) 
Step: remove fragment, Previous ligand: Cc1c(-n2c(=O)[nH]c3ccc(Cl)cc3c2=O)oc2ccccc12, New ligand: Cc1c(-n2c(=O)[nH]c3ccc(Cl)cc3c2=O)oc2ccccc12, Score: tensor([0.7606]) 
Step: remove fragment, Previous ligand: Cc1c(-n2c(=O)[nH]c3ccc(Cl)cc3c2=O)oc2ccccc12, New ligand: [14*]c1oc2ccccc2c1C, Score: tensor([0.7283]) 
Step: add fragment, Previous ligand: [14*]c1oc2ccccc2c1C, New ligand: [3*]Oc1oc2ccccc2c1C, Score: tensor([0.8053]) 
Step: remove fragment, Previous ligand: [3*]Oc1oc2ccccc2c1C, New ligand: [3*]Oc1oc2ccccc2c1C, Score: tensor([0.8053]) 
Step: add fragment, Previous ligand: [3*]Oc1oc2ccccc2c1C, New ligand: [3*]Oc1oc2ccccc2c1C, Score: tensor([0.8053]) 
Step: add fragment, Previous ligand: [3*]Oc1oc2ccccc2c1C, New ligand: [3*]Oc1oc2ccccc2c1C, Score: tensor([0.8053]) 
Step: add fragment, Previous ligand: [3*]Oc1oc2ccccc2c1C, New ligand: [3*]Oc1oc2ccccc2c1C, Score: tensor([0.8053]) 
Step: add fragment, Previous ligand: [3*]Oc1oc2ccccc2c1C, New ligand: [9*]n1cc(Oc2oc3ccccc3c2C)nn1, Score: tensor([0.7979]) 
Step: add fragment, Previous ligand: [9*]n1cc(Oc2oc3ccccc3c2C)nn1, New ligand: [13*][C@H]1C[C@@H](n2cc(Oc3oc4ccccc4c3C)nn2)[C@@H]([13*])O1, Score: tensor([0.6722]) 
Step: add fragment, Previous ligand: [13*][C@H]1C[C@@H](n2cc(Oc3oc4ccccc4c3C)nn2)[C@@H]([13*])O1, New ligand: [13*][C@H]1C[C@@H](n2cc(Oc3oc4ccccc4c3C)nn2)[C@H](c2ccccc2[16*])O1, Score: tensor([0.6186]) 
Step: add fragment, Previous ligand: [13*][C@H]1C[C@@H](n2cc(Oc3oc4ccccc4c3C)nn2)[C@H](c2ccccc2[16*])O1, New ligand: [13*][C@@H]1OCc2ccccc2[C@@H]1O[C@H]1C[C@@H](n2cc(Oc3oc4ccccc4c3C)nn2)[C@H](c2ccccc2[16*])O1, Score: tensor([0.6155]) 
Step: remove fragment, Previous ligand: [13*][C@@H]1OCc2ccccc2[C@@H]1O[C@H]1C[C@@H](n2cc(Oc3oc4ccccc4c3C)nn2)[C@H](c2ccccc2[16*])O1, New ligand: [13*][C@@H]1OCc2ccccc2[C@@H]1O[C@H]1C[C@@H]([15*])[C@H](c2ccccc2[16*])O1, Score: tensor([0.8088]) 
Step: add fragment, Previous ligand: [13*][C@@H]1OCc2ccccc2[C@@H]1O[C@H]1C[C@@H]([15*])[C@H](c2ccccc2[16*])O1, New ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H](O[C@H]3c4ccccc4CO[C@H]3[13*])C[C@H]2[15*])cc1, Score: tensor([0.8072]) 
Step: add fragment, Previous ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H](O[C@H]3c4ccccc4CO[C@H]3[13*])C[C@H]2[15*])cc1, New ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H](O[C@H]3c4ccccc4CO[C@H]3[13*])C[C@H]2N2CCC([15*])CC2)cc1, Score: tensor([0.8026]) 
Step: add fragment, Previous ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H](O[C@H]3c4ccccc4CO[C@H]3[13*])C[C@H]2N2CCC([15*])CC2)cc1, New ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H](O[C@H]3c4ccccc4CO[C@@H]3N3C(=O)NC([13*])(C)C3=O)C[C@H]2N2CCC([15*])CC2)cc1, Score: tensor([0.7684]) 
Step: remove fragment, Previous ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H](O[C@H]3c4ccccc4CO[C@@H]3N3C(=O)NC([13*])(C)C3=O)C[C@H]2N2CCC([15*])CC2)cc1, New ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H]([13*])C[C@H]2N2CCC([15*])CC2)cc1, Score: tensor([0.7426]) 
Step: remove fragment, Previous ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H]([13*])C[C@H]2N2CCC([15*])CC2)cc1, New ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H]([13*])C[C@H]2N2CCC([15*])CC2)cc1, Score: tensor([0.7426]) 
Step: add fragment, Previous ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H]([13*])C[C@H]2N2CCC([15*])CC2)cc1, New ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H]([C@@H]3C[C@H]([13*])O[C@@H]3[13*])C[C@H]2N2CCC([15*])CC2)cc1, Score: tensor([0.8128]) 
Step: add fragment, Previous ligand: [12*]S(=O)(=O)c1ccc(-c2ccccc2[C@@H]2O[C@@H]([C@@H]3C[C@H]([13*])O[C@@H]3[13*])C[C@H]2N2CCC([15*])CC2)cc1, New ligand: [13*][C@H]1C[C@@H]([C@H]2C[C@@H](N3CCC([15*])CC3)[C@H](c3ccccc3-c3ccc(S(=O)(=O)NC(=N)N)cc3)O2)[C@@H]([13*])O1, Score: tensor([0.8322]) 
