Molecule: ./Bromo/rand_n10 
Step: remove fragment, Previous ligand: [1*]C(=O)C(C)(C)C([8*])[8*], New ligand: [1*]C(=O)C(C)(C)C([8*])[8*], Score: tensor([0.5186]) 
Step: add fragment, Previous ligand: [1*]C(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, New ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, Score: tensor([0.6843]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, New ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, Score: tensor([0.6843]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, New ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, Score: tensor([0.6843]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, New ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, Score: tensor([0.6843]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, New ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, Score: tensor([0.6843]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, New ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, Score: tensor([0.6843]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, New ligand: [8*]C(c1ccc(S(=O)(=O)N(C)C)cc1)C(C)(C)C(=O)OC, Score: tensor([0.7809]) 
Step: add fragment, Previous ligand: [8*]C(c1ccc(S(=O)(=O)N(C)C)cc1)C(C)(C)C(=O)OC, New ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)C1CCCCC1, Score: tensor([0.7131]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)C1CCCCC1, New ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)C1CCCCC1, Score: tensor([0.7131]) 
Step: remove fragment, Previous ligand: COC(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)C1CCCCC1, New ligand: [8*]C(C1CCCCC1)C(C)(C)C(=O)OC, Score: tensor([0.8088]) 
