Molecule: ./Bromo/specific_frags_2.txt 
Step: remove fragment, Previous ligand: [9*]n1cnc(-c2cn(C)c(=O)c3[nH]ccc23)c1[14*], New ligand: [9*]n1cnc(-c2cn(C)c(=O)c3[nH]ccc23)c1[14*], Score: tensor([0.9049]) 
Step: remove fragment, Previous ligand: [9*]n1cnc(-c2cn(C)c(=O)c3[nH]ccc23)c1[14*], New ligand: [9*]n1cnc(-c2cn(C)c(=O)c3[nH]ccc23)c1[14*], Score: tensor([0.9049]) 
Step: add fragment, Previous ligand: [9*]n1cnc(-c2cn(C)c(=O)c3[nH]ccc23)c1[14*], New ligand: [14*]c1ncc(F)c(-n2cnc(-c3cn(C)c(=O)c4[nH]ccc34)c2[14*])n1, Score: tensor([0.9014]) 
Step: remove fragment, Previous ligand: [14*]c1ncc(F)c(-n2cnc(-c3cn(C)c(=O)c4[nH]ccc34)c2[14*])n1, New ligand: [14*]c1ncc(F)c(-n2cnc(-c3cn(C)c(=O)c4[nH]ccc34)c2[14*])n1, Score: tensor([0.9014]) 
Step: add fragment, Previous ligand: [14*]c1ncc(F)c(-n2cnc(-c3cn(C)c(=O)c4[nH]ccc34)c2[14*])n1, New ligand: [14*]c1ncc(F)c(-n2cnc(-c3cn(C)c(=O)c4[nH]ccc34)c2-c2nc([14*])c3cc([16*])ccc3[nH+]2)n1, Score: tensor([0.8958]) 
Step: remove fragment, Previous ligand: [14*]c1ncc(F)c(-n2cnc(-c3cn(C)c(=O)c4[nH]ccc34)c2-c2nc([14*])c3cc([16*])ccc3[nH+]2)n1, New ligand: [14*]c1ncc(F)c(-n2cnc(-c3cn(C)c(=O)c4[nH]ccc34)c2-c2nc([14*])c3cc([16*])ccc3[nH+]2)n1, Score: tensor([0.8958]) 
Step: remove fragment, Previous ligand: [14*]c1ncc(F)c(-n2cnc(-c3cn(C)c(=O)c4[nH]ccc34)c2-c2nc([14*])c3cc([16*])ccc3[nH+]2)n1, New ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.8875]) 
Step: add fragment, Previous ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, New ligand: [1*]C(=O)C([7*])c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.8998]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C([7*])c1cn(C)c(=O)c2[nH]ccc12, New ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.8877]) 
Step: add fragment, Previous ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, New ligand: Cc1cc2ccnc(-c3cn(C)c(=O)c4[nH]ccc34)c2[nH]c1=O, Score: tensor([0.8895]) 
Step: remove fragment, Previous ligand: Cc1cc2ccnc(-c3cn(C)c(=O)c4[nH]ccc34)c2[nH]c1=O, New ligand: Cc1cc2ccnc(-c3cn(C)c(=O)c4[nH]ccc34)c2[nH]c1=O, Score: tensor([0.8895]) 
Step: remove fragment, Previous ligand: Cc1cc2ccnc(-c3cn(C)c(=O)c4[nH]ccc34)c2[nH]c1=O, New ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.8878]) 
Step: remove fragment, Previous ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, New ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, Score: tensor([0.8878]) 
Step: add fragment, Previous ligand: [16*]c1cn(C)c(=O)c2[nH]ccc12, New ligand: Cn1cc(N2CCCC2=O)c2cc[nH]c2c1=O, Score: tensor([0.9066]) 
Step: remove fragment, Previous ligand: Cn1cc(N2CCCC2=O)c2cc[nH]c2c1=O, New ligand: [10*]N1CCCC1=O, Score: tensor([0.7108]) 
Step: add fragment, Previous ligand: [10*]N1CCCC1=O, New ligand: O=C1CCCN1C1CC1, Score: tensor([0.8284]) 
Step: remove fragment, Previous ligand: O=C1CCCN1C1CC1, New ligand: [10*]N1CCCC1=O, Score: tensor([0.7115]) 
Step: remove fragment, Previous ligand: [10*]N1CCCC1=O, New ligand: [10*]N1CCCC1=O, Score: tensor([0.7115]) 
Step: remove fragment, Previous ligand: [10*]N1CCCC1=O, New ligand: [10*]N1CCCC1=O, Score: tensor([0.7115]) 
Step: remove fragment, Previous ligand: [10*]N1CCCC1=O, New ligand: [10*]N1CCCC1=O, Score: tensor([0.7115]) 
Step: remove fragment, Previous ligand: [10*]N1CCCC1=O, New ligand: [10*]N1CCCC1=O, Score: tensor([0.7115]) 
Step: add fragment, Previous ligand: [10*]N1CCCC1=O, New ligand: Cn1ncc(N2CCCC2=O)c(Cl)c1=O, Score: tensor([0.7795]) 
Step: remove fragment, Previous ligand: Cn1ncc(N2CCCC2=O)c(Cl)c1=O, New ligand: [10*]N1CCCC1=O, Score: tensor([0.7106]) 
Step: add fragment, Previous ligand: [10*]N1CCCC1=O, New ligand: [16*]c1cc2onc(C)c2cc1N1CCCC1=O, Score: tensor([0.8495]) 
Step: remove fragment, Previous ligand: [16*]c1cc2onc(C)c2cc1N1CCCC1=O, New ligand: [16*]c1cc2onc(C)c2cc1N1CCCC1=O, Score: tensor([0.8495]) 
Step: remove fragment, Previous ligand: [16*]c1cc2onc(C)c2cc1N1CCCC1=O, New ligand: [16*]c1cc2onc(C)c2cc1[16*], Score: tensor([0.8197]) 
Step: remove fragment, Previous ligand: [16*]c1cc2onc(C)c2cc1[16*], New ligand: [16*]c1cc2onc(C)c2cc1[16*], Score: tensor([0.8197]) 
Step: add fragment, Previous ligand: [16*]c1cc2onc(C)c2cc1[16*], New ligand: [16*]c1cc2c(C)noc2cc1-c1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl, Score: tensor([0.8603]) 
Step: add fragment, Previous ligand: [16*]c1cc2c(C)noc2cc1-c1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl, New ligand: [16*]c1cc2c(C)noc2cc1-c1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl, Score: tensor([0.8603]) 
Step: add fragment, Previous ligand: [16*]c1cc2c(C)noc2cc1-c1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl, New ligand: [14*]c1[nH]c(C)c(-c2cc3c(C)noc3cc2-c2cc3c(s2)-n2c(C)nnc2CN=C3c2ccccc2Cl)c1[16*], Score: tensor([0.7943]) 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2cc3c(C)noc3cc2-c2cc3c(s2)-n2c(C)nnc2CN=C3c2ccccc2Cl)c1[16*], New ligand: [14*]c1[nH]c(C)c(-c2cc3c(C)noc3cc2-c2cc3c(s2)-n2c(C)nnc2CN=C3c2ccccc2Cl)c1-c1cc(S(=O)(=O)CC)ccc1[16*], Score: tensor([0.7597]) 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(-c2cc3c(C)noc3cc2-c2cc3c(s2)-n2c(C)nnc2CN=C3c2ccccc2Cl)c1-c1cc(S(=O)(=O)CC)ccc1[16*], New ligand: [16*]c1ccc(S(=O)(=O)CC)cc1-c1c(-c2cccc(Cl)c2)[nH]c(C)c1-c1cc2c(C)noc2cc1-c1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl, Score: tensor([0.6439]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(S(=O)(=O)CC)cc1-c1c(-c2cccc(Cl)c2)[nH]c(C)c1-c1cc2c(C)noc2cc1-c1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl, New ligand: [16*]c1ccc(S(=O)(=O)CC)cc1-c1c(-c2cccc(Cl)c2)[nH]c(C)c1[16*], Score: tensor([0.7708]) 
Step: add fragment, Previous ligand: [16*]c1ccc(S(=O)(=O)CC)cc1-c1c(-c2cccc(Cl)c2)[nH]c(C)c1[16*], New ligand: [12*]S(=O)(=O)c1cc([16*])cc(-c2ccc(S(=O)(=O)CC)cc2-c2c(-c3cccc(Cl)c3)[nH]c(C)c2[16*])c1, Score: tensor([0.7749]) 
Step: remove fragment, Previous ligand: [12*]S(=O)(=O)c1cc([16*])cc(-c2ccc(S(=O)(=O)CC)cc2-c2c(-c3cccc(Cl)c3)[nH]c(C)c2[16*])c1, New ligand: [12*]S(=O)(=O)c1cc([16*])cc(-c2ccc(S(=O)(=O)CC)cc2-c2c(-c3cccc(Cl)c3)[nH]c(C)c2[16*])c1, Score: tensor([0.7749]) 
